1,0.438122
2,0.437842
3,0.441219
4,0.397753
5,0.47401
6,0.444356
7,0.498174
8,0.409698
9,0.417074
10,0.479728
11,0.456022
12,0.41374
13,0.484711
14,0.452758
15,0.550632
16,0.413112
17,0.553201
18,0.478548
19,0.452288
20,0.528905
21,0.451947
22,0.458375
23,0.551648
24,0.494619
25,0.411361
26,0.52806
27,0.410886
28,0.512148
29,0.526792
30,0.550456
31,0.482433
32,0.521183
33,0.46776
34,0.449821
35,0.404557
36,0.477137
37,0.456169
38,0.511773
39,0.550531
40,0.451985
41,0.485203
42,0.468262
43,0.410727
44,0.546997
45,0.484998
46,0.503157
47,0.504123
48,0.476516
49,0.525442
50,0.506046
51,0.504797
52,0.503846
53,0.523045
54,0.519477
55,0.405746
56,0.505435
57,0.524659
58,0.437498
59,0.434215
60,0.441343
61,0.524247
62,0.387834
63,0.503128
64,0.49949
65,0.404463
66,0.503353
67,0.501687
68,0.440721
69,0.464582
70,0.503258
71,0.50227
72,0.518027
73,0.502461
74,0.48569
75,0.487107
76,0.521328
77,0.517917
78,0.493903
79,0.484868
80,0.483602
81,0.487046
82,0.49188
83,0.47015
84,0.484201
85,0.482559
86,0.49221
87,0.485041
88,0.497606
89,0.463952
90,0.484411
91,0.490374
92,0.46347
93,0.484288
94,0.468019
95,0.466333
96,0.474
97,0.465892
98,0.473714
99,0.473551
100,0.465625
101,0.481437
102,0.462544
103,0.523037
104,0.482435
105,0.489606
106,0.435347
107,0.508315
108,0.520366
109,0.464563
110,0.500135
111,0.472685
112,0.405996
113,0.44735
114,0.403658
115,0.503754
116,0.398117
117,0.521386
118,0.384081
119,0.431253
120,0.523948
121,0.544086
122,0.463588
123,0.400473
124,0.488505
125,0.48123
126,0.500296
127,0.498344
128,0.464868
129,0.487737
130,0.546092
131,0.500889
132,0.529756
133,0.522306
134,0.483853
135,0.476455
136,0.529331
137,0.477362
138,0.522007
139,0.400164
140,0.497658
141,0.460978
142,0.526712
143,0.529245
144,0.448469
145,0.518931
146,0.436519
147,0.42486
148,0.49942
149,0.481874
150,0.502956
151,0.515698
152,0.528283
153,0.496067
154,0.470204
155,0.515486
156,0.544964
157,0.461024
158,0.529754
159,0.489457
160,0.515867
161,0.516828
162,0.49286
163,0.52445
164,0.441239
165,0.500977
166,0.515577
167,0.439985
168,0.505965
169,0.505731
170,0.513581
171,0.513414
172,0.619031
173,0.499911
174,0.53247
175,0.521663
176,0.485059
177,0.48905
178,0.531356
179,0.498058
180,0.583824
181,0.582081
182,0.617332
183,0.581776
184,0.494588
185,0.524361
186,0.575661
187,0.577085
188,0.572126
189,0.576841
190,0.575152
191,0.582792
192,0.571661
193,0.580775
194,0.575226
195,0.581296
196,0.580401
197,0.518569
198,0.581063
199,0.603395
200,0.574804
201,0.603264
202,0.603192
203,0.473687
204,0.543629
205,0.575653
206,0.45933
207,0.517592
208,0.480688
209,0.478601
210,0.579874
211,0.426566
212,0.498868
213,0.467523
214,0.498278
215,0.439714
216,0.560511
217,0.528732
218,0.457746
219,0.521998
220,0.489781
221,0.486983
222,0.433417
223,0.581322
224,0.478444
225,0.463314
226,0.396148
227,0.437983
228,0.514646
229,0.507001
230,0.396397
231,0.615224
232,0.495501
233,0.518195
234,0.499247
235,0.579589
236,0.49275
237,0.397067
238,0.393341
239,0.481882
240,0.519062
241,0.518912
242,0.486792
243,0.439843
244,0.512846
245,0.388934
246,0.506764
247,0.457291
248,0.443383
249,0.482749
250,0.580053
251,0.57263
252,0.499393
253,0.497751
254,0.557949
255,0.49894
256,0.542128
257,0.569437
258,0.426533
259,0.459006
260,0.517131
261,0.459933
262,0.499222
263,0.475821
264,0.518343
265,0.515379
266,0.513637
267,0.4938
268,0.465641
269,0.418316
270,0.486051
271,0.488126
272,0.531168
273,0.519475
274,0.507278
275,0.479041
276,0.538563
277,0.50209
278,0.559659
279,0.557127
280,0.486721
281,0.498353
282,0.481775
283,0.517501
284,0.504201
285,0.573764
286,0.503761
287,0.519978
288,0.480862
289,0.497721
290,0.42394
291,0.468297
292,0.371656
293,0.503817
294,0.501221
295,0.487192
296,0.484053
297,0.530105
298,0.448334
299,0.439269
300,0.483763
301,0.433208
302,0.423503
303,0.433102
304,0.438946
305,0.495529
306,0.44797
307,0.495398
308,0.495323
309,0.497019
310,0.519214
311,0.452981
312,0.390757
313,0.384981
314,0.511994
315,0.515494
316,0.369872
317,0.51671
318,0.578486
319,0.556072
320,0.511849
321,0.515775
322,0.601851
323,0.432411
324,0.467014
325,0.485489
326,0.579625
327,0.420223
328,0.390244
329,0.431612
330,0.478651
331,0.517889
332,0.515892
333,0.502961
334,0.454572
335,0.432636
336,0.568699
337,0.422298
338,0.525195
339,0.5783
340,0.497149
341,0.53625
342,0.464546
343,0.437853
344,0.488637
345,0.414003
346,0.474517
347,0.473319
348,0.573365
349,0.459773
350,0.53815
351,0.436964
352,0.484203
353,0.455673
354,0.432497
355,0.537935
356,0.502371
357,0.49105
358,0.517291
359,0.511576
360,0.478291
361,0.492312
362,0.512677
363,0.477445
364,0.505431
365,0.55837
366,0.495864
367,0.465711
368,0.384955
369,0.494878
370,0.611725
371,0.47256
372,0.483465
373,0.5315
374,0.511066
375,0.57402
376,0.457433
377,0.522648
378,0.445925
379,0.42509
380,0.484217
381,0.623127
382,0.531082
383,0.507759
384,0.47388
385,0.420996
386,0.494053
387,0.598528
388,0.501096
389,0.522175
390,0.579559
391,0.478961
392,0.587055
393,0.481424
394,0.510397
395,0.527254
396,0.622992
397,0.514546
398,0.572703
399,0.557243
400,0.381623
401,0.451257
402,0.59812
403,0.603161
404,0.514232
405,0.585618
406,0.49137
407,0.580129
408,0.557153
409,0.504891
410,0.478525
411,0.484468
412,0.459626
413,0.571749
414,0.571828
415,0.510204
416,0.555722
417,0.568358
418,0.57132
419,0.500143
420,0.491423
421,0.470574
422,0.498961
423,0.579089
424,0.488166
425,0.555233
426,0.496236
427,0.449992
428,0.585462
